,author_display_name,author_channel_id,comment,comment_last_updated,clean_comment
330,Sean Caravaggio,UCS9YUMZfj8uxyZ-EIikJ9fw,Beautiful song.,2020-09-07 23:48:48+00:00,beautiful song
331,Melissa Duffy,UCrnM1tB07mc_c4PaIPke2dg,"Mellifluous music for these troubled times!  Love that you filmed the sculpture and the tower at Volunteer Park in Seattle! (Did you know this was called the 'Poor Man's Space Needle"" because you have to walk up all the stairs instead of use the elevator like the 'Space Needle' but unlike the Space Needle you didn't have to 'pay' anything to 'self-propel' up the winding staircase to the top of the tower! 
Also, great that you featured our Pacific NW Native plants like our Western Red Cedar trees in our lovely N.W. ""Liquid sunsine"" aka rain and our native white snowberry bush! Beautiful pic of the rhododendron too and you of course and your 'honey!'",2020-09-07 19:36:22+00:00,mellifluous music troubled times love filmed sculpture tower volunteer park seattle did know called poor man space needle walk stairs instead use elevator like space needle unlike space needle pay anything iselfpropel winding staircase top tower also great featured pacific nw native plants like western red cedar trees lovely nw liquid sunsine aka rain native white snowberry bush beautiful pic rhododendron course honey
332,Conquer You!,UCGedS6c-ZGSc85ghaqZg3cA,I would thumbs this up again if I could.,2020-09-05 03:40:40+00:00,would thumbs could
333,Lanie Call,UCFusDHgHatuhauw1DZeRg7w,This sounds like checking your scars,2020-09-04 03:47:21+00:00,sounds like checking scars
334,Schuylkill Railroad Garage,UCOlDNK6cCD3EoVi_vxE2PDQ,i just heard this song on my crosley radio,2020-09-04 02:38:39+00:00,heard song crosley radio
335,GAEEEE,UC137GcjxoyjSg0del5ABFtA,thisssss is mahhh favee song uwu,2020-09-04 02:25:59+00:00,thisssss mahhh favee song uwu
336,21 pilots coolest fan,UC7QTUp7gCDPSNyzy-B2xHXg,Did u know this is my rabbits fav song,2020-09-04 01:42:11+00:00,u know rabbits fav song
337,Ramiz Shaikh,UC8UPz_LQovWumEAjXbSjhag,Don't know the Lyrics but I listen.. After i saw this song as a Story on Instagram On My relatives who stays in US  & lots Of Love From India,2020-09-01 21:17:28+00:00,know lyrics listen saw song story instagram relatives stays us  lots love india
338,Megan T,UCoG3AAZHPJuuNtVH5AzTJCw,This song is so beautiful 😍,2020-08-31 23:17:50+00:00,song beautiful 😍
339,Shawn R,UC2aWlkkIDrXZmO2ghQ_0zzA,"Oof, I hate to sound like a hipster, but I really like the old stuff better. Sounds like a radio spot ploy 😔",2020-08-31 18:05:30+00:00,oof hate sound like hipster really like old stuff better sounds like radio spot ploy 😔
340,i_said,UC9VW9jByI5LwOoOI1Nip-8Q,"I never thought I could love a song this much .... ""but here we are....""",2020-08-31 11:51:13+00:00,never thought could love song much  but are
341,kstone1of3,UCmKgVI_N8ynm7eId8n1-K2Q,Can’t get enough of this song. Hits the feels.,2020-08-29 02:16:11+00:00,ca get enough song hits feels
342,ɴᴜɢɢᴇᴛ. ♡,UC-Ncdnvddx11KtGyuAgdOPQ,I love this song...I can't relate because i'm single...But look at my nickname 🍯🌻🐝,2020-10-02 14:17:15+00:00,love songi relate singlebut look nickname 🍯🌻🐝
343,Ricardo Camacho,UCbfZHmye88JigKhSbDi22uA,You can't get tired of listening to this song.,2020-08-25 00:54:18+00:00,get tired listening song
344,Corbin Herrera,UCnQJZfUkoMowkOPdxWpGKbw,243 people thumbs downed this as of 8/24/20. And I think all of you that did are a absolute piece of shit.,2020-08-25 00:14:30+00:00,243 people thumbs downed 82420 think absolute piece shit
345,Amelia Piner,UCKnze3xFGYRAWD-Ep2gx7LQ,My dog is named honeybee and whenever this song says her name she always cocks her head and looks at the speaker. This song was literally written for her (in her mind)!,2020-08-24 20:06:54+00:00,dog named honeybee whenever song says name always cocks head looks speaker song literally written in mind
346,Jan P,UCtPENYa2IrQ4h7wER4VcKkA,Who listen to music and pretend they're in the music video in slow motion,2020-08-23 19:54:01+00:00,listen music pretend music video slow motion
347,Wakeup Baron,UCr5iYWlqlRm_EPsJF4O-xQQ,"After 13 years together and 4 years my marriage gonna be turn down.... but
this song make me think about everything of us.There are something in lyrics reminded me how hard we fight to have each other and what we’ve made. I would like to thank you you guys to wrote this beautiful song, you may have no idea every  phase in lyrics so much encourage me don’t fade. Thank you again",2020-08-23 06:16:08+00:00,13 years together 4 years marriage gonna turn down song make think everything usthere something lyrics reminded hard fight made would like thank guys wrote beautiful song may idea every phase lyrics much encourage fade thank
348,Well hi I didn’t See you there,UCXJeI_VtWVMcWCVWoQUoPww,POV you saw this on videos of tictoks cause your not allowed to have the app and you are waiting for a vertebra part of the song,2020-08-20 19:24:49+00:00,pov saw videos tictoks cause allowed app waiting vertebra part song
349,Leigh Rich,UCE-RPfqWsj52thbCCdr7iiA,Love you music. So real sounding and unique.. Honey bee,2020-08-19 16:16:20+00:00,love music real sounding unique honey bee
350,Jade,UCkXETqhfsCFYihkeWw-f7YA,my nickname from my incredible fiancé has been honeybee from the beginning. Hearing this song makes me feel so happy thinking about us. 🐝🖤,2020-08-18 16:35:50+00:00,nickname incredible fiancé honeybee beginning hearing song makes feel happy thinking us 🐝🖤
351,Nuria Entrulion,UC3vfpBEQ8dB6yoDt_lbC1gQ,"I am in Love
And I am in love with this song
New fav💛💛💛",2020-08-18 05:31:29+00:00,love love song new fav💛💛💛
352,E M,UCrXJhcEaL9sGZtkA0afHjBg,Someone please help me! I love this type of music but can’t find enough of it!! What genre of music is it?? Thank you!!!,2020-08-18 00:06:44+00:00,someone please help me love type music find enough it genre music it thank you
353,Ruonan Zhao,UClGlYPOxsD8s3NosOWwueOg,This song gives a Chinese style music vibe....,2020-08-17 23:41:00+00:00,song gives chinese style music vibe
354,Omega Sevyn,UC1h4Lx69dvESF7y8untqM_A,"Great song, love it. The video is ridiculous though. Ruins the mood of a beautiful song.",2020-08-17 18:20:17+00:00,great song love it video ridiculous though ruins mood beautiful song
355,robbi,UCLEIzRMwvblQIq7WPeVP7Ow,I think they wore this song 4 me & my guy😉,2020-08-16 00:13:06+00:00,think wore song 4  guy😉
356,Michael Moore,UCDrdVmPtOyCSifDOzYucA6g,fave earworm...great song!!,2020-08-14 18:30:33+00:00,fave earwormgreat song
357,a collins,UCWm4166Wyzx36Zc14KYgwfA,I had this song stuck in my head for the longest time that when my cat had to get ivs I hummed this to him,2020-08-14 04:35:38+00:00,song stuck head longest time cat get ivs hummed
358,Paul917,UC5ajJnvWvnIezMUZi347HNA,Really beautiful song,2020-08-13 17:48:10+00:00,really beautiful song
359,Daniel Cabrera,UCtPjLRusC5gzjFxTDUWFaVA,Honeybee  has reached #1 on  @billboard AlternativeAirplay . This is their second song to achieve this. Congrats.,2020-08-12 06:02:16+00:00,honeybee reached 1 billboard alternativeairplay  second song achieve this congrats
360,TXWintor,UC9_o6c3N8wA8pJ8vPZPLhdQ,"I had no idea that I needed this, thank you.",2020-08-10 13:35:04+00:00,idea needed this thank you
361,EatAssDaily,UCLBoXEF8P0J_TLoR3XCyPVA,2:17 🔥🔥🔥🔥🔥,2020-08-10 08:12:44+00:00,217 🔥🔥🔥🔥🔥
362,Paranoid Android,UCiew5vv0N_24AEiaZ9w82vg,Why does this sound so familiar?,2020-08-10 04:16:37+00:00,sound familiar
363,Aiden Trager,UCXuE2pKJ6WJEVls7YvDpAVg,"A really good friend of mine was telling me a story about this song, and now I gotta learn it for him. I gotchu Roach.",2020-08-09 05:12:56+00:00,really good friend mine telling story song gotta learn him gotchu roach
364,Alonso V.,UCpJ4vj6niuFJZk3OumTxr0Q,"This song is just amazing, thank you for share it !",2020-08-08 19:41:40+00:00,song amazing thank share 
365,CyCo,UCb8XVB5Tp-4al43H0GQ39zw,"Going through tough times rn with my “Honeybee” 🥺 This song just reminds me of him, I hope we make it.",2020-08-08 07:03:27+00:00,going tough times rn “honeybee” 🥺 song reminds him hope make it
366,nationshi,UCYBkS9yXBDIH-mWg2fKMTRw,"Wow! Finally a honeybee with an unique, and outstanding voice!",2020-08-07 20:22:50+00:00,wow finally honeybee unique outstanding voice
367,Opal Bones,UCl9M_-LG3n3g5PFRlyfFR-Q,❤,2020-08-06 14:52:41+00:00,❤
368,Sean Caravaggio,UCS9YUMZfj8uxyZ-EIikJ9fw,Beautiful love song!😊❤️,2020-08-05 18:38:07+00:00,beautiful love song😊❤️
369,Rubens Armani,UC3EmydbMhZEAQ3mzs4zeQQw,Wonderful,2020-08-05 16:15:07+00:00,wonderful
370,Crazy Cam,UC8K6NX0i-DYgMH5H55hn1Og,My favorite part is when it says.... But here we are!!!!,2020-08-04 23:56:09+00:00,favorite part says are
371,Essey Cuddy,UCbzSQ205M5zRJrT7No6TZNw,This song reminds me of My Mel ❣️,2020-08-04 23:01:35+00:00,song reminds mel ❣️
372,Adam Grills,UCXk-wnDbjmsHfhkeHvCc-2A,https://youtu.be/WySxG33zU7g,2020-08-04 15:25:20+00:00,httpsyoutubewysxg33zu7g
373,John Amparo,UCSfTXlUrQ7H_y01-mrqs1Mw,"For real my girl's nickname is ""bee"" this is a really perfect song for her because she will always be my Honey bee.",2020-08-03 16:00:14+00:00,real girl nickname bee really perfect song always honey bee
374,Stephanie Carey,UCx5tkdoiOHZlGSB4mgvNGVA,"I get such a sweet, cool vibe listening to this",2020-08-03 15:26:40+00:00,get sweet cool vibe listening
375,lydia lily,UCF7S34lJ6GRUA1eZdsyIK3g,👍🏻👍🏻❤️🌹❤️👍🏻👍🏻,2020-08-02 22:41:57+00:00,👍🏻👍🏻❤️🌹❤️👍🏻👍🏻
376,Keith Starke,UCuhngdU130M7hps3Hep5lBQ,I am just enchanted by her unique voice. I'm not sure why exactly but it's one of those voices that i can immediately recognize.,2020-08-02 12:58:56+00:00,enchanted unique voice sure exactly one voices immediately recognize
377,Zatch G,UCtjt6lYev4kYibMh2fx7HkQ,Beautiful song with gorgeous lyrics,2020-08-02 03:44:43+00:00,beautiful song gorgeous lyrics
378,Dave Hart,UCKKakeyrJY5tmL8dQ5aoTSA,Beautiful song,2020-08-02 03:22:30+00:00,beautiful song
379,IOS Masteries,UCRv-C1fmnryuV1rEqajMF_A,This song hits me so hard. It’s brings back memories of when my husband and I met and now we are expecting a baby girl and it just makes me cry everytime I hear it🥺,2020-08-01 19:42:31+00:00,song hits hard brings back memories husband met expecting baby girl makes cry everytime hear it🥺
380,Leaf N'Lore,UC3Qo33OHyUkvuPpVaCb1cFw,I absolutely adore this video,2020-08-01 07:09:25+00:00,absolutely adore video
381,guy smith,UCAYaQp9cbMl7WmcgwTJnrnQ,Omg ALL THE FEELS,2020-08-01 01:00:00+00:00,omg feels
382,Maria Delmondes,UC1GcB5kA2BgI8CwyWxqCwSw,"God, it just popped up on my suggestions, like, at 1 am, and i started listening to all the songs and now im pretty sure it's one of my fav bands for a lifetime. Thank you.",2020-07-31 04:48:23+00:00,god popped suggestions like 1 am started listening songs im pretty sure one fav bands lifetime thank you
383,Eyds Cornell,UC_HH8ADVBF6UrIN7kCRbg0w,I love this song but I’m trying to understand the true meaning and story of the song someone please help me understand it better,2020-07-30 02:37:08+00:00,love song trying understand true meaning story song someone please help understand better
384,Elvis ziggy swift,UCWtdGeMx28sj-6eQH7I6Srw,💗💖👑,2020-07-29 13:14:51+00:00,💗💖👑
385,ke wang,UCfX6WuXUtRngViTg5vx16UA,很喜欢这首歌，谢谢你,2020-07-29 12:42:32+00:00,很喜欢这首歌，谢谢你
386,Paula Jane Jores,UC1OmcupUdgNEp-70ZX-KgNA,❤️❤️❤️,2020-07-29 11:42:06+00:00,❤️❤️❤️
387,Bernard Poon,UCYR7beTzLM-jtcSpjP9j1mQ,Not a good idea listening to this when going through a breakup 😔,2020-07-29 11:32:59+00:00,good idea listening going breakup 😔
388,angelo bajamonde,UCCX7DVAkuTuRpOVwAFw-23Q,sorry I'm late 😅,2020-07-29 06:55:32+00:00,sorry late 😅
389,Bluefield One,UCPkkdMG6yjF6FZBfsxJwGpA,Great song... love the piano work,2020-07-28 22:40:32+00:00,great song love piano work
390,Nitrishaaaa,UCciSJdORfcN3W6l3WU_INbg,I'm head over heels in love with this song.,2020-07-28 20:05:53+00:00,head heels love song
391,Reason,UCTZw79zxBi8fyQMVJsffttg,Im so in lovvvvve with this song! 🐝🐝🐝🐝🐝🐝🐝,2020-07-27 06:39:33+00:00,im lovvvvve song 🐝🐝🐝🐝🐝🐝🐝
392,Mundo Tec Gabriel Díaz O,UCqhrXgqcLyINQH3a9vPsG6A,I love the music... saludos desde Perú,2020-07-27 04:38:28+00:00,love music saludos desde perú
393,j☆isjournal,UCsvioTb7BtbzbLFfOm-ffsg,cottagecore vibes-,2020-07-26 06:50:31+00:00,cottagecore vibes
394,Cristian Riveros,UCXloBtnuX57XMJYEWXlej2g,Doble nueve,2020-07-25 02:57:06+00:00,doble nueve
395,Chuck Talor 716 T,UCshSzUZ1mrineQP8jjSn-yw,Damn only 2 million views,2020-07-24 20:09:28+00:00,damn 2 million views
396,Yahaya Wescar,UC7FFcjTnKMDj2Hh9XKwTFyQ,good song,2020-07-24 11:44:23+00:00,good song
397,Jonathan Drouin,UCm58R39R6euQqsmA_yvGGrw,I take every opportunity to tell my gf to remind her of how dear she is to me. Thank you for this song.,2020-07-24 09:37:11+00:00,take every opportunity tell gf remind dear me thank song
398,Joevan Espin,UC6VXYGGxk6HD0zVD8MwZWkQ,this song have always a place in my heart ❤🥺,2020-07-24 04:05:37+00:00,song always place heart ❤🥺
399,Todd Codd,UCgQIcdJXwVzAblBCIoSSR3A,Miss you Alexys:/,2020-07-24 00:28:59+00:00,miss alexys
400,fred price,UC5E5zZ_4EWD8Q-CFwcf-kxw,Absolutely love this song,2020-07-22 16:11:35+00:00,absolutely love song
401,Wanda Mccloud,UCt-SZW8j4Tz-hjMeP2Yg-0w,"💯🐝Honey Bee🐝💯
2020😋💯🎈💃",2020-07-22 11:15:59+00:00,💯🐝honey bee🐝💯 2020😋💯🎈💃
402,Buzz n Bites,UC4TIe6x6rnfcFcEDYjsJlmw,"your song made me happy
more for staple of my brain",2020-07-22 02:15:16+00:00,song made happy staple brain
403,chris iriarte,UCSwcbLvnAQnyjgre1PIXbDA,Damn why the smallest artists never get many views for such a good song,2020-07-22 01:29:07+00:00,damn smallest artists never get many views good song
404,Zero Whittier,UCVjrcGlRZeIc0Y1eRZtlEVw,"Wow, I head a headache before I started the song, and now it's pretty much gone! I'm writing this comment while listening to this song. This song is just beautiful...thank you so much! ❤",2020-07-20 23:44:51+00:00,wow head headache started song pretty much gone writing comment listening song song beautifulthank much ❤
405,ThePilotMan,UCHHTkzb8-oHe5XeG5eeAYKw,When she asks does this dress make me look fat,2020-07-20 05:00:44+00:00,asks dress make look fat
406,LxsLnn,UCgYpHEHbBlennKJQ6HuV_9Q,KROQ came through with this song when I just so happened to turn on the radio,2020-07-20 01:08:46+00:00,kroq came song happened turn radio
407,E,UC19hsh8vZYYi7WtmF_bC-pg,Man this makes me cry!,2020-07-19 19:46:25+00:00,man makes cry
408,Cole Williams,UC7AYTN5BUPWc0vtukY1aXBw,Love the song but the music video is pretty bad,2020-07-16 22:31:17+00:00,love song music video pretty bad
409,Alison Xinyi,UCvANGxy16WsoxXxRNi6zvQw,🥰🤍,2020-07-16 07:37:18+00:00,🥰🤍
410,Gusto Eriolas,UCFliOzxRdQvm9GkpRSKKpqw,"Wow this is unBEElievible, its amazing!!",2020-07-14 15:03:13+00:00,wow unbeelievible amazing
411,Kevin's Journal,UCbmt8sZwqvebTTny46ne0Jw,"What is this genre and where to find songs like this? Similar artists, this is beautiful!",2020-07-13 04:48:20+00:00,genre find songs like this similar artists beautiful
412,Cheryl Moll,UCpkE1GW8L7dWxmNM5L98LQQ,❤️❤️❤️❤️,2020-07-13 00:49:35+00:00,❤️❤️❤️❤️
413,STOB IT,UCsys4WG3GwVcToXJCXUHwPA,"found my wedding song, now all i need to find is a husband",2020-07-09 21:56:18+00:00,found wedding song need find husband
414,Victor Acevedo,UCESCrDgiAbrFOwtus8IjBCg,This song has had me near tears so many fricken times. LOVELY,2020-07-09 04:11:35+00:00,song near tears many fricken times lovely
415,Carlwinsona,UCx9Hi4yOHLBU2sECrqLBAKQ,"This song makes my heart bloom, such a beautiful symphony. Just cant seem to stop playing this song on repeat!",2020-07-08 15:45:08+00:00,song makes heart bloom beautiful symphony cant seem stop playing song repeat
416,MA Plays MLBB,UCMxw0iKSTb6IwG3OLWYz0Kw,i have never ever heared any songs like this. is this a children song for teens and young adults? a mirror of reality. i got hooked up outrightly im a metal guy tho but this group is really a honey,2020-07-07 14:55:35+00:00,never ever heared songs like this children song teens young adults mirror reality got hooked outrightly im metal guy tho group really honey
417,Simran Malhotra,UCiM2gfZzNzX9JCpDtEbECvg,♥️♥️,2020-07-07 03:45:09+00:00,♥️♥️
418,Teresa Jane Tagayan,UCdcLiuShNhdtK6xe2FfgJVA,Found my wedding song! 😍❤️,2020-07-06 17:26:58+00:00,found wedding song 😍❤️
419,Pretty Fancy,UCMfHt80yCDCbgP-LnMzpFxA,Un-BEE-lievable 😆🥰,2020-07-06 15:30:22+00:00,unbeelievable 😆🥰
420,Akaashi.,UC3jGFsp_Zuiddc5Q48wrrfg,The bee movie soundtrack,2020-07-05 12:37:07+00:00,bee movie soundtrack
421,Bearded Cynic,UCrF6Ue8pTAFWM6gdw6Nh0vQ,This is absolute garbage.,2020-07-04 13:51:53+00:00,absolute garbage
422,Godfather,UCOOEo80GTZM7UZrXYfC-MyQ,"You're the one, you are the only one.",2020-07-04 02:25:45+00:00,one one
423,Tara,UCp2rpU2_Kdloj4qU4oP70IA,Rubix sent me here 😌,2020-07-03 21:55:17+00:00,rubix sent 😌
424,GIGI,UCZ8vWq67daOmh8uYmWMHxPQ,"LTY, you are the only one",2020-07-03 08:12:02+00:00,lty one
425,Catie L,UCTuRTAF87eKHgfjUR7OEHHg,This is so beautiful and sounds like my husband and I. Its definitely my new favorite song for us. And this video has to be the cutest thing ever!,2020-07-02 19:23:57+00:00,beautiful sounds like husband i definitely new favorite song us video cutest thing ever
426,GIGI,UCZ8vWq67daOmh8uYmWMHxPQ,This song is so beautiful,2020-07-02 09:21:54+00:00,song beautiful
427,hayvie grace,UCuGr-15pjoqseGXj7Z8wqzg,ok but i'm kinda obsessed with this song :>,2020-07-01 16:28:47+00:00,ok kinda obsessed song 
428,Mitch E,UCOd9JfJp3N-_4puO4uOdAyQ,This song just hits differently than many I’ve heard recently.,2020-07-01 00:00:15+00:00,song hits differently many heard recently
429,roleyondawrist,UCCIiQc-dJKDnfQCuuD9r9-A,We built a garden with the love we found . beautiful words put together,2020-06-30 08:57:22+00:00,built garden love found  beautiful words put together
430,Laurie Eno,UCDpsF3IesDwhv2I3NCDE46A,How did the world ever exist without this song in it? It is perfection.,2020-06-27 10:01:33+00:00,world ever exist without song it perfection
431,Alexander Taylor,UCNBCH6xgmJH2guoH_Z-T6NA,They sure chose the perfect time to film at that beach. Those rain curtains in the background make it look great (actually looks like somewhere near where I live),2020-06-26 07:31:53+00:00,sure chose perfect time film beach rain curtains background make look great actually looks like somewhere near live
432,Kathy Henion,UCIw7PUWVztiQoWkUrJ021NQ,"Thank you for making this song, I absolutely love it.",2020-06-24 22:59:26+00:00,thank making song absolutely love it
433,Chad Urot,UCgXuQWUE3aa9bLgJ_0RO_OA,"Played it 10 times in a row, 11th incoming.",2020-06-24 03:39:37+00:00,played 10 times row 11th incoming
434,Sarah Roland,UCtyKOOaI1x37fdbn-VO1btg,Love the song it reminds me of the simple things that seem to have disappeared or forgotten,2020-06-24 03:10:14+00:00,love song reminds simple things seem disappeared forgotten
435,Victoria,UCdn6_MPW9Ry1L0hInPY0NKQ,Beautiful. Can you explain the meaning/message behind this song?,2020-06-22 22:18:03+00:00,beautiful explain meaningmessage behind song
436,Victor Lopez,UClyaeV8OdM33EqU8XVm5jHA,00:43 sec of the song did it for me. Levitating right now ☁️,2020-06-21 06:20:59+00:00,0043 sec song me levitating right ☁️
437,Molly Martin,UCieJ0ZEeZKA_AWJqUv5rl-Q,This song makes me think of my bf. He died a couple months ago and every time I hear it I think of him. I get really sad but also happy bc I'm grateful that at least once in my life I got to experience real love.,2020-06-23 16:08:05+00:00,song makes think bf died couple months ago every time hear think him get really sad also happy bc grateful least life got experience real love
438,Alex Baltov,UCYFZCc7lfUxFmmxUUKYf_wA,"Great song! When I first heard it I thought Borns, the high notes are very similar",2020-06-20 04:11:23+00:00,great song first heard thought borns high notes similar
439,that random nomby,UC3dDtQonvsb4R895xIbz6Vg,"I'm SO sorry for this but...




... who's here from tik tok?🥺",2020-06-19 20:15:19+00:00,sorry but  tik tok🥺
440,UntilTimeFalls,UCNXRATjsudhw5Yz8c_QAheA,Took under ten seconds for my to add this song to the playlist.,2020-06-17 06:07:25+00:00,took ten seconds add song playlist
441,Michael Campbell,UCsOwXh_g4ywWkOgG1fhBUag,Anyone know where this was filmed?,2020-06-17 04:40:30+00:00,anyone know filmed
442,Cherith Grove,UCzjjl1b3SiUbPCewjByrNiA,"And I think it to myself, what a wonderful world it is that we live in. Beekeeper, bookstore, Vidya games and record collection!",2020-06-14 03:33:29+00:00,think myself wonderful world live in beekeeper bookstore vidya games record collection
443,Ranger 49,UCqMAMcIv7KVgz-H5ReGM5rg,Heard this song on the radio and couldn't get it out of my head. Took me a couple days to find the name and artist and im so happy I did. Simply Bliss <3,2020-06-14 07:11:23+00:00,heard song radio could get head took couple days find name artist im happy did simply bliss 3
444,jensoo hoe,UC0CZNURKPD4232hHgqrRbnA,I found this song on a jensoo video and damn im so inlove♡,2020-06-12 13:19:19+00:00,found song jensoo video damn im inlove♡
445,Tuki,UCo1jbusCrg7JEu4gWOYKunw,I love the song and the beat,2020-06-09 22:36:24+00:00,love song beat
446,Nati 🛸,UCrTLoV7F01q9HZouOUfbZgg,"Gente que delícia de música! Acho que estou apaixonada, já perdi as contas de quantas vezes eu apertei o replay. 😍😍😍😍♥️",2020-06-09 17:45:37+00:00,gente que delícia de música acho que estou apaixonada já perdi contas de quantas vezes eu apertei replay 😍😍😍😍♥️
447,A.K.A PAPER,UCh5KbZJ1OO6QokPpioZi8yA,I’m a rapper and this song is #DOPE,2020-06-09 02:12:47+00:00,rapper song dope
448,Taylor Vaughn,UCf976iIMbv6cu6HJ2dXxrJg,Alt 92.3 brought me here <3,2020-06-08 21:54:58+00:00,alt 923 brought 3
449,Lia Kim,UCVZj7z7m00VQmVIHfuS-B3g,We are the honeybees is the message. The earth needs each and everyone of us. We are the gravity the rotation and the universe.  The universe is our breath.  Its expanding as we in civilization.  The stars are ours.  They are our nucleus the energy savers. You are heaven you are the stars and the universe you are everything.,2020-06-08 15:55:56+00:00,honeybees message earth needs everyone us gravity rotation universe universe breath expanding civilization stars ours nucleus energy savers heaven stars universe everything
450,Nicole Wang,UCB-uiDi1FpeyZj6L_yVHa2w,my boyfriend introduced this song to me and said this song reminded him of me and now it's kinda our song 😌💖 i love it,2020-06-08 10:39:37+00:00,boyfriend introduced song said song reminded kinda song 😌💖 love
451,Anzen Kate Lopez,UCLhPwyTHHJgieo47zCzT6dg,Tell it to the bees 🐝🐝,2020-06-08 07:11:02+00:00,tell bees 🐝🐝
452,Joe W,UCbFV-_OLjDS0yoJgwdG-JZw,Love it !!!!!!,2020-06-06 12:29:05+00:00,love 
453,T.D.Kanika,UCiMIL2b5PRj_NsnnX2-8g5g,In love with the song❤️,2020-06-06 05:32:50+00:00,love song❤️
454,Kirito Kirigya,UC0b6OTQl4uHy3jcQigwYl-Q,Maby in another lifetime or a place in time me and you will make it.,2020-06-04 17:34:17+00:00,maby another lifetime place time make it
455,jamesbricker79,UC7NYN9rmyyNH8aKkYA9ZaYQ,songs on repeat till further notice...,2020-06-03 20:09:45+00:00,songs repeat till notice
456,Rosalyn Parales,UCdE9tTZ9WpWymsS2deRlgUg,fave this song! 💙💙💙,2020-05-31 12:48:09+00:00,fave song 💙💙💙
457,Charlotte Gauger,UCw6LsSnz_RoMqkU7E5PL4tw,Sounds a lot like https://www.youtube.com/watch?v=gy9HOaDU318&list=RDEMsyFLOayiQTfrU2q9YFCq2w&index=9,2020-05-31 05:23:12+00:00,sounds lot like httpswwwyoutubecomwatchvgy9hoadu318listrdemsyfloayiqtfru2q9yfcq2windex9
458,Lady,UCkntmb-5tvzNB0MadQ6Abfw,Such a nice song,2020-05-30 17:01:22+00:00,nice song
459,Kathy Ryan,UCzeng0NDHUovHbLEDRmRt9w,I am a huge fan of you Charity and Matty in particular.  Been a fan of The Head and the Heart since your first album.,2020-05-30 00:22:37+00:00,huge fan charity matty particular fan head heart since first album
460,Darcy Marie TCB,UCtH3wMF0pNNRtMp7jxjFlTw,Obsessed with this song 😍❤️,2020-05-28 00:00:17+00:00,obsessed song 😍❤️
461,OddRickk,UC8nvS2cHUJDXbRfKqhHG8pw,This song makes me happy and emotional in a good good way.,2020-05-27 00:06:00+00:00,song makes happy emotional good good way
462,Livi Spaulding,UCQfPuVT2Zt4AEolrZQR8j4g,I’m so fucking in love with this song rn,2020-05-26 11:23:59+00:00,fucking love song rn
463,john velono,UCGuf9ae6_JGiqvZqdFX03cQ,Bee movie sequel (bit depressing version),2020-05-25 15:17:21+00:00,bee movie sequel bit depressing version
464,Jon Angelo Maraña,UCUqebqc6FfSh9fS8zmZ-owg,Sounds good if u play it in .75,2020-05-24 18:08:05+00:00,sounds good u play 75
465,Holo_Catt,UC96721WmIpO2frYHbIC3OwA,"You're my bee, b.",2020-05-23 04:09:56+00:00,bee b
466,Penny Chao,UC-_XMdJBqpxJVB8j5wNtIyg,"Hey, it's Volunteer Park! Lol
Love this song btw",2020-05-22 02:32:50+00:00,hey volunteer park lol love song btw
467,Mike P,UCQSYB9fx6i2J96FR224GdVA,Might be one of the most beautiful songs I've ever heard. Video is kinda weird but the song is beautiful.,2020-05-21 12:33:06+00:00,might one beautiful songs ever heard video kinda weird song beautiful
468,John Risser,UCgNv0UTEQRcCZXiRuaxWU9g,Sounds a bit like Harry Styles,2020-05-20 21:57:07+00:00,sounds bit like harry styles
469,Marmalade Mallow,UCXYRC992tOhMzoNECQS4Z1w,This song is amazing 💛🐝🌻,2020-05-20 16:06:42+00:00,song amazing 💛🐝🌻
470,Srijana Lama,UCa844_0v0TXulKAKdYchE6Q,Such a nice song! But stupid video.,2020-05-19 17:53:02+00:00,nice song stupid video
471,Francis Mendez,UChSQc59TuRS410474adiu4A,With all the shit going on in the world. as Im lost in my thoughts.. this song came on the radio..makes me  appreciate life more..besafe stay healthy everyone.. will get threw this together🤙🏼,2020-05-19 11:03:04+00:00,shit going world im lost thoughts song came radiomakes appreciate life morebesafe stay healthy everyone get threw together🤙🏼
472,neon heart,UC0sUKWU1pkUYEsG7yuxCmcQ,I love this song 🎧🎶💕,2020-05-18 20:09:19+00:00,love song 🎧🎶💕
473,Ana Maria Rocha,UCSEK1Cr0POQBpRQACpWufhQ,amo de coração <3,2020-05-18 18:19:15+00:00,amo de coração 3
474,Amanda DasGupta,UCUzr50Y9U7Vpl32HhWyZaGg,This is one of the most beautiful songs I’ve heard this year. Giving me the feels. 😍🤯 🐝,2020-05-17 02:33:16+00:00,one beautiful songs heard year giving feels 😍🤯 🐝
475,AlienBaby,UCUD2kedki60Sw5gYe7liZcA,"I saw this band perform ""Honeybee""on Jimmy Fallon last night, and they were awesome..",2020-05-16 18:17:45+00:00,saw band perform honeybeeon jimmy fallon last night awesome
476,Entertain Me,UCtcjve-OGMzMk3d2XmWQgIg,This song is...........everything,2020-05-15 00:29:12+00:00,song iseverything
